name,wikidata_id,label,score
aaron p. abramovitz,,,
ajay banga,Q4699676,Ajaypal Singh Banga,
ajay k. puri,,,
akhil johri,Q109579686,Akhil Johri,
alain monié,Q18161837,Alain Monié,
"alan j. levy , ph.d .",,,
alan r. mulally,Q348874,Alan Mulally,
alex gorsky,Q16193601,Alex Gorsky,
alexander c. karp,Q19560940,Alex Karp,
alexander moore,Q16066820,Alexander Moore,
alexandra schiff,Q95187889,Alexandra Schiffer,
alice p. gast,Q4725875,Alice Gast,
allan g. bense,,,
amal m. johnson,,,
amie thuener o'toole,,,
amy banse,Q4749092,Amy Banse,
amy e. hood,Q16499756,Amy Hood,
amy l. johnson,Q67212072,Amy L Johnson,
"amy l. ladd , ph.d .",,,
ana botín,Q299646,Ana Botín,
anat ashkenazi,Q126617537,Anat Ashkenazi,
andrea forster,Q139337116,Andrea Förster,
andrew cecere,Q58425865,Andrew J. Cecere,
andrew w. evans,Q51111099,Andrew W. Evans,
angela ahrendts,Q529233,Angela Ahrendts,
"angus r. cooper , iii",,,
anita allcorn-walker,,,
ann fritz hackett,,,
ann mather,Q3617636,Ann Mather,
ann-marie campbell,Q21005259,Ann-Marie Campbell,
anthony welter,Q123151233,Anthony Welters,
anurag maheshwari,Q84257055,Anurag Maheshwari,
aparna chennapragada,,,
art p. beattie,,,
arun sarin,Q716505,Arun Sarin,
ashley mcevoy,,,
ashton b. carter,Q4806029,Ash Carter,
b. c. terry,Q106406641,Clifford B. Terry,
barry diller,Q587455,Barry Diller,
bentina c. terry,,,
brad d. smith,Q4953873,Brad Smith,
bradley m. halverson,Q114592610,Brad Halverson,
brett a. pletcher,,,
brian d. savoy,,,
brian j. west,,,
brian l. robert,Q4964404,Brian L. Roberts,
brian t. olsavsky,Q134435731,Brian T. Olsavsky,
c. douglas mcmillon,,,
c. robert kidder,Q5006815,C. Robert Kidder,
c.p.a.j . ( eli ) leenaars,,,
carlos e. represas,Q115558190,Carlos E. Represas,
carol b. tomé,Q21551443,Carol Tomé,
carol j. hibbard,,,
carolina dybeck happe,Q96943114,Carolina Dybeck Happe,
