company,companyLabel,property,propertyLabel,statement,mainValue,mainValueLabel,qualifierProperty,qualifierPropertyLabel,qualifierValue
Q380,Meta,P1056,product or material produced,Q380-07085557-4bd9-a128-c76f-6668149e740f,Q1049511,Q1049511,,,
Q380,Meta,P1056,product or material produced,Q380-40cfcd07-415b-d488-3319-e407e026d41a,Q61058409,Facebook Custom Audience,,,
Q380,Meta,P1056,product or material produced,Q380-5a2c71c5-4d29-5ca1-7cb7-7c0f4b492af4,Q209330,Q209330,,,
Q380,Meta,P1056,product or material produced,Q380-5b861ed6-48c9-2804-3ef2-41f7d5f7dbf0,Q116947,Messenger,,,
Q380,Meta,P1056,product or material produced,Q380-a71f1731-4139-a977-1ed7-afb470617ea4,Q355,Facebook,,,
Q380,Meta,P1056,product or material produced,Q380-b774e2ec-4646-5c24-2299-47dcaa66b9ea,Q61058404,Meta pixel,,,
Q380,Meta,P1056,product or material produced,Q380-FDBDF816-2F9E-4E08-87AC-EB728E8F8267,Q7397,software,,,
Q380,Meta,P127,owned by,Q380-2f52909b-48a8-be77-4820-3641e47e44a8,Q36215,Mark Zuckerberg,P585,point in time,2015-03-31T00:00:00Z
Q380,Meta,P127,owned by,Q380-2f52909b-48a8-be77-4820-3641e47e44a8,Q36215,Mark Zuckerberg,P1107,proportion,0.539
Q380,Meta,P127,owned by,Q380-40cb6662-45ac-a617-a4ca-c8af57d53e09,Q219635,BlackRock,P585,point in time,2021-03-31T00:00:00Z
Q380,Meta,P127,owned by,Q380-40cb6662-45ac-a617-a4ca-c8af57d53e09,Q219635,BlackRock,P1013,criterion used,Q2350092
Q380,Meta,P127,owned by,Q380-40cb6662-45ac-a617-a4ca-c8af57d53e09,Q219635,BlackRock,P1107,proportion,0.023
Q380,Meta,P127,owned by,Q380-422803fc-4749-16ec-3e43-cef9ef21bd55,Q312663,Eduardo Saverin,P585,point in time,2021-03-31T00:00:00Z
Q380,Meta,P127,owned by,Q380-422803fc-4749-16ec-3e43-cef9ef21bd55,Q312663,Eduardo Saverin,P1013,criterion used,Q2350092
Q380,Meta,P127,owned by,Q380-422803fc-4749-16ec-3e43-cef9ef21bd55,Q312663,Eduardo Saverin,P1107,proportion,0.069
Q380,Meta,P127,owned by,Q380-67777fed-4a5d-605d-ab8c-9d27b9eefb49,Q312663,Eduardo Saverin,P585,point in time,2015-03-31T00:00:00Z
Q380,Meta,P127,owned by,Q380-67777fed-4a5d-605d-ab8c-9d27b9eefb49,Q312663,Eduardo Saverin,P1107,proportion,0.061
Q380,Meta,P127,owned by,Q380-d7bb16cc-4ef7-799f-2fae-d97aad096ee2,Q370217,Dustin Moskovitz,P585,point in time,2021-03-31T00:00:00Z
Q380,Meta,P127,owned by,Q380-d7bb16cc-4ef7-799f-2fae-d97aad096ee2,Q370217,Dustin Moskovitz,P1013,criterion used,Q2350092
Q380,Meta,P127,owned by,Q380-d7bb16cc-4ef7-799f-2fae-d97aad096ee2,Q370217,Dustin Moskovitz,P1107,proportion,0.038
Q380,Meta,P127,owned by,Q380-eca19b97-45e3-0313-1447-4ca370f3c4ed,Q36215,Mark Zuckerberg,P585,point in time,2021-03-31T00:00:00Z
Q380,Meta,P127,owned by,Q380-eca19b97-45e3-0313-1447-4ca370f3c4ed,Q36215,Mark Zuckerberg,P1013,criterion used,Q2350092
Q380,Meta,P127,owned by,Q380-eca19b97-45e3-0313-1447-4ca370f3c4ed,Q36215,Mark Zuckerberg,P1107,proportion,0.529
Q380,Meta,P127,owned by,Q380-f9fed407-49fb-ac30-b734-a05c96605265,Q370217,Dustin Moskovitz,P585,point in time,2015-03-31T00:00:00Z
Q380,Meta,P127,owned by,Q380-f9fed407-49fb-ac30-b734-a05c96605265,Q370217,Dustin Moskovitz,P1107,proportion,0.062
Q380,Meta,P169,chief executive officer,Q380-d7e460ce-427e-f6c0-917a-224e398a7ebc,Q36215,Mark Zuckerberg,P580,start time,2004-02-04T00:00:00Z
